id,imieNazwisko,klub,dataUr,wiek,miejsceUr,plec,ukonczonaSzkola,wyksztalcenie,najwyzszyStopienNaukowy,liczbaStudiowPodyplomowych,zawod,nrOkreguWyborczego,okregWyborczy,wojewodztwoOkreguWyborczego,liczbaGlosow,stazParlamentarny,ktoraKadencja,czyAktywny,powodNieaktywnosci,nieaktywnoscKomentarz,nieaktywnoscKategoria
82,Konrad Frysztak,KO,1986-02-15,39,Radom,M,"Wyższa Szkoła Handlowa, Wydział Nauk Humanistycznych, Dziennikarstwo - licencjat (2012) Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Politologii, Dziennikarstwo - magister (2020) Europejska Uczelnia Społeczno-Techniczna im. Roberta Schumana w Radomiu, Wydział Nauk Prawnych, Prawo - magister (2023)",wyższe,magister,0,"dziennikarz, prawnik",17,Radom,mazowieckie,25416,poseł na Sejm RP IX kadencji,2,True,,,
83,Patryk Gabriel,KO,1977-03-29,48,Gdańsk,M,"Uniwersytet Gdański, Wydział Nauk Społecznych, Socjologia - magister (2001) Uniwersytet Gdański, Nauki o Zarządzaniu (2015) - studia doktoranckie",wyższe,magister,0,urzędnik samorządowy,25,Gdańsk,pomorskie,11201,brak,1,True,,,
84,Krzysztof Gadowski,KO,1962-08-14,63,Bochnia,M,"Politechnika Śląska, Wydział Transportu, Eksploatacja i Utrzymanie Pojazdów - magister inżynier (1986) Uniwersytet Śląski, Samorząd Terytorialny (1996) - studia podyplomowe Politechnika Śląska, Zarządzanie Przedsiębiorstwem (1996) - studia podyplomowe",wyższe,magister inżynier,2,inżynier transportu,30,Bielsko-Biała,śląskie,36031,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
85,Aleksandra Gajewska,KO,1989-08-22,36,Warszawa,K,"Collegium Civitas (Warszawa), Stosunki Międzynarodowe, Stosunki międzynarodowe - magister (2013) Collegium Humanum, Executive Master of Business Administration (2021) - studia podyplomowe",wyższe,magister,1,przedsiębiorca prywatny,19,Warszawa,mazowieckie,49428,poseł na Sejm RP IX kadencji,2,True,,,
86,Kinga Gajewska,KO,1990-07-22,35,Warszawa,K,"Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych, Nauki Polityczne - magister (2014) Uniwersytet Warszawski, Nauki Polityczne (2017) - studia doktoranckie Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2018)",wyższe,magister,0,"politolog, prawnik",20,Warszawa,mazowieckie,85283,poseł na Sejm RP VIII i IX kadencji,3,True,,,
87,Elżbieta Gapińska,KO,1960-10-03,65,Płock,K,"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej, Pedagogika specjalna - Resocjalizacja - magister (1985)",wyższe,magister,0,pedagog,16,Płock,mazowieckie,13214,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
88,Kamila Gasiuk-Pihowicz,KO,1983-05-08,42,Warszawa,K,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie, Wydział Prawa i Administracji, Prawo - magister (2007) Szkoła Główna Handlowa w Warszawie, Wydział Ekonomii, Finanse i Bankowość - licencjat (2007)",wyższe,magister,0,"adwokat, prawnik",18,Siedlce,mazowieckie,57609,poseł na Sejm RP VIII i IX kadencji,3,False,Zrzeczenie,Wybrana na posła do Parlamentu Europejskiego,Mandat w Parlamencie Europejskim
89,Krzysztof Gawkowski,Lewica,1980-04-11,45,Warszawa,M,"Wyższa Szkoła Komunikowania i Mediów Społecznych (Warszawa), Wydział Nauk Politycznych, Politologia - magister (2006) Akademia Humanistyczna im. Aleksandra Gieysztora, Wydział Nauk Humanistycznych, Nauki Humanistyczne - doktor (2011) Akademia Humanistyczna im. Aleksandra Gieysztora, Wydział Nauk o Polityce, Politologia (2011) - studia doktoranckie Uniwersytet Warszawski, Prawo Pracy (2021) - studia podyplomowe",wyższe,doktor,1,nauczyciel akademicki,4,Bydgoszcz,kujawsko-pomorskie,21831,poseł na Sejm RP IX kadencji,2,True,,,
90,Zdzisław Gawlik,KO,1960-09-12,65,Dębica,M,"Uniwersytet Marii Curie-Skłodowskiej Filia w Rzeszowie, Wydział Prawa i Administracji, Prawo - magister (1983)",wyższe,magister,0,nauczyciel akademicki,23,Rzeszów,podkarpackie,7054,poseł na Sejm RP VIII kadencji,2,True,,,
91,Andrzej Gawron,PiS,1965-01-06,61,Kochcice,M,"Uniwersytet Humanistyczno-Przyrodniczy w Częstochowie, Wydział Prawa i Ekonomii, Administracja - magister (2022)",wyższe,magister,0,parlamentarzysta,28,Częstochowa,śląskie,13239,poseł na Sejm RP VIII i IX kadencji,3,True,,,
92,Grzegorz Gaża,PiS,1972-03-23,53,Pszczyna,M,"Zespół Szkół Budowlano-Mechanicznych, Wydział Mechaniczny, Obróbka Skrawaniem - technik (1992) Zespół Szkół Ponadgimnazjalnych, Wydział Elektryczny, Elektroenergetyka - technik (1994) Akademia WSB w Dąbrowie Górniczej, Wydział Zarządzania, Zarządzanie Przedsiębiorstwem - licencjat (2023)",wyższe,licencjat,0,"parlamentarzysta, przedsiębiorca prywatny",27,Bielsko-Biała,śląskie,11940,poseł na Sejm RP IX kadencji,2,True,,,
93,Elżbieta Gelert,KO,1955-04-22,70,Gdańsk,K,"Akademia Medyczna w Poznaniu, Pielęgniarstwo, Pielęgniarstwo - magister (1984) Uniwersytet Jagielloński w Krakowie - Szkoła Zdrowia Publicznego, Zarządzanie Szpitalami (1996) - studia podyplomowe",wyższe,magister,1,menedżer,34,Elbląg,warmińsko-mazurskie,15847,"poseł na Sejm RP VII, VIII i IX kadencji, senator VI kadencji",4,True,,,
94,Anna Gembicka,PiS,1991-11-07,34,Włocławek,K,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2019) Instytut Ekonomiki Rolnictwa i Gospodarki Żywnościowej - Państwowy Instytut Badawczy, Rolnictwo i ekonomika gospodarstw rolnych dla absolwentów nierolniczych studiów wyższych (2022) - studia podyplomowe",wyższe,magister,1,"prawnik, wyższy urzędnik państwowy",5,Toruń,kujawsko-pomorskie,25993,poseł na Sejm RP IX kadencji,2,True,,,
95,Artur Daniel Gierada,KO,1979-04-21,46,Kielce,M,"Akademia Świętokrzyska, Wydział Zarządzania i Administracji, Politologia - magister (2007) Uniwersytet Warszawski, Wydział Nauk Ekonomicznych, Audyt Strategiczny w Instytucjach Publicznych i Prywatnych (2009) - studia podyplomowe Collegium Humanum - Szkoła Główna Menedżerska, Executive Master of Business Administration (2020) - studia podyplomowe",wyższe,magister,2,politolog,33,Kielce,świętokrzyskie,16878,"poseł na Sejm RP VI, VII i VIII kadencji",4,True,,,
96,Roman Giertych,KO,1971-02-27,54,Śrem,M,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Historii, Historia - magister (1994) Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa i Administracji, Prawo - magister (1995)",wyższe,magister,0,adwokat,33,Kielce,świętokrzyskie,23622,poseł na Sejm RP IV i V kadencji,3,True,,,
97,Włodzisław Giziński,KO,1952-10-19,73,Działdowo,M,"Akademia Medyczna w Gdańsku, Wydział Lekarski - lekarz (1977) Akademia Medyczna w Bydgoszczy, Medycyna - doktor (1988)",wyższe,doktor,0,lekarz psychiatra,4,Bydgoszcz,kujawsko-pomorskie,13630,brak,1,True,,,
98,Szymon Giżyński,PiS,1956-03-08,69,Częstochowa,M,"Uniwersytet Śląski, Wydział Filologiczny, Filologia Polska - magister (1983)",wyższe,magister,0,urzędnik państwowy,28,Częstochowa,śląskie,14148,"poseł na Sejm RP IV, V, VI, VII, VIII i IX kadencji",7,True,,,
99,Piotr Gliński,PiS,1954-04-20,71,Warszawa,M,"Uniwersytet Warszawski, Wydział Nauk Ekonomicznych, Ekonomia - magister (1978) Instytut Filozofii i Socjologii Polskiej Akademii Nauk, Socjologia - doktor (1982) Instytut Filozofii i Socjologii Polskiej Akademii Nauk, Socjologia - doktor habilitowany (1997)",wyższe,doktor,0,pracownik naukowo-dydaktyczny,19,Warszawa,mazowieckie,135339,poseł na Sejm RP VIII i IX kadencji,3,True,,,
100,Tomasz Głogowski,KO,1974-12-30,51,Tarnowskie Góry,M,"Uniwersytet Śląski, Wydział Filologii Polskiej, Filologia Polska - magister (1999) Uniwersytet Śląski, Filologia - doktor (2003)",wyższe,doktor,0,nauczyciel akademicki,29,Katowice,śląskie,11463,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
101,Piotr Głowski,KO,1967-07-22,58,Bydgoszcz,M,"Uniwersytet Techniczno-Przyrodniczy w Bydgoszczy, Wydział Rolniczy, Marketing i Zarządzanie Gospodarką Żywnościową - inżynier (2007) Wyższa Szkoła Zarządzania i Bankowości w Poznaniu, Wydział Zarządzania, Psychologia Zarządzania - magister (2009) Uniwersytet Ekonomiczny w Poznaniu, Nauki Ekonomiczne - doktor (2014)",wyższe,doktor,0,ekonomista,38,Piła,wielkopolskie,16067,senator VII kadencji,2,True,,,
102,Marta Golbik,KO,1985-04-14,40,Gliwice,K,"Szkoła Główna Handlowa w Warszawie, Finanse i Rachunkowość - magister (2009)",wyższe,magister,0,przedsiębiorca prywatny,29,Katowice,śląskie,19430,poseł na Sejm RP VIII i IX kadencji,3,True,,,
103,Małgorzata Golińska,PiS,1980-10-30,45,Szczecinek,K,"Akademia Rolnicza w Poznaniu, Wydział Leśny, Gospodarka Leśna - magister inżynier (2005) Akademia Rolnicza w Poznaniu, Integracja Europejska-Agrobiznes i Obszary Wiejskie (2005) - studia podyplomowe",wyższe,magister inżynier,1,leśnik,40,Koszalin,zachodniopomorskie,15253,poseł na Sejm RP VIII i IX kadencji,3,True,,,
104,Kazimierz Gołojuch,PiS,1964-02-05,61,Łańcut,M,"Akademia Rolnicza w Krakowie, Wydział Techniki i Energetyki Rolnictwa, Eksploatacja Maszyn - magister inżynier (1990) Uniwersytet Rzeszowski, Europeistyka (2002) - studia podyplomowe",wyższe,magister inżynier,1,parlamentarzysta,23,Rzeszów,podkarpackie,14216,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
105,Adam Gomoła,Polska2050,1999-01-20,26,Opole,M,"Szkoła Główna Handlowa w Warszawie, Finanse i Rachunkowość - licencjat (2021)",wyższe,licencjat,0,specjalista ds. rozwoju i promocji,21,Opole,opolskie,21923,brak,1,True,,,
106,Robert Gontarz,PiS,1993-07-02,32,Żuromin,M,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Nauk Ekonomicznych i Zarządzania, Ekonomia - licencjat (2015) Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Matematyki i Informatyki, Matematyka - magister (2017)",wyższe,magister,0,"ekonomista, matematyk, parlamentarzysta",34,Elbląg,warmińsko-mazurskie,24940,poseł na Sejm RP IX kadencji,2,True,,,
107,Stanisław Gorczyca,KO,1958-07-27,67,Miłomłyn,M,"Akademia Rolniczo-Techniczna w Olsztynie, Wydział Rolniczy, Ekonomia - magister inżynier (1984) Wyższa Szkoła Pedagogiczna w Krakowie, Biologia - doktor (2009) Wyższa Szkoła Pedagogiczna w Krakowie, Zarządzanie Zasobami Przyrodniczymi (2010) - studia podyplomowe",wyższe,doktor,1,biolog,34,Elbląg,warmińsko-mazurskie,7979,"poseł na Sejm RP IV i V kadencji, senator VII i VIII kadencji",3,True,,,
108,Mariusz Gosek,PiS,1982-08-20,43,Kielce,M,"Akademia Świętokrzyska, Wydział Pedagogiczny i Nauk o Zdrowiu, Pedagogika - magister (2005)",wyższe,magister,0,pedagog,33,Kielce,świętokrzyskie,5309,poseł na Sejm RP IX kadencji,2,True,,,
109,Daria Gosek-Popiołek,Lewica,1985-04-16,40,Sosnowiec,K,"Uniwersytet Jagielloński w Krakowie, Wydział Polonistyki, Teatrologia - magister sztuki (2009)",wyższe,magister,0,pracownik samorządowy,13,Kraków,małopolskie,39054,poseł na Sejm RP IX kadencji,2,True,,,
110,Małgorzata Gosiewska,PiS,1966-07-22,59,Gdańsk,K,Liceum Ogólnokształcące w Czersku (1985),średnie ogólne,,0,urzędnik państwowy,19,Warszawa,mazowieckie,36523,"poseł na Sejm RP V, VII, VIII i IX kadencji",5,False,Zrzeczenie,Wybrana na posła do Parlamentu Europejskiego,Mandat w Parlamencie Europejskim
111,Piotr Górnikiewicz,Polska2050,1972-07-09,53,Tarnów,M,"Małopolska Wyższa Szkoła Ekonomiczna, Wydział Ekonomii, Zarządzanie Firmą - licencjat (2004) Krakowska Szkoła Biznesu, Zarządzanie MBA (2021) - studia podyplomowe",wyższe,licencjat,1,ekonomista,15,Tarnów,małopolskie,5180,brak,1,True,,,
112,Agnieszka Górska,PiS,1976-01-01,50,Skarżysko-Kamienna,K,"Politechnika Radomska im K. Pułaskiego w Radomiu, Wydział Ekonomii - magister (2001)",wyższe,magister,0,ekonomista,17,Radom,mazowieckie,11494,poseł na Sejm RP IX kadencji,2,True,,,
113,Krzysztof Grabczuk,KO,1962-04-22,63,Sawin,M,"Akademia Wychowania Fizycznego w Katowicach, Wydział Wychowania Fizycznego, Nauczyciel trener - magister (1991) Akademia Wychowania Fizycznego w Poznaniu, Menedżer Sportu (1999) - studia podyplomowe Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Zarządzania i Administracji (2004) - studia podyplomowe Katolicki Uniwersytet Lubelski Jana Pawła II, Socjologia, Socjologia - doktor (2008)",wyższe,doktor,2,nauczyciel akademicki,7,Chełm,lubelskie,32985,poseł na Sejm RP IX kadencji,2,True,,,
114,Jan Grabiec,KO,1972-11-02,53,Legionowo,M,"Wydział Filozofii, Etyka - magister (1996)",wyższe,magister,0,urzędnik państwowy,20,Warszawa,mazowieckie,71534,poseł na Sejm RP VIII i IX kadencji,3,True,,,
115,Marcin Grabowski,PiS,1981-04-06,44,Ostrołęka,M,"Uniwersytet Łódzki, Wydział Ekonomiczno-Socjologiczny, Ekonomia - magister (2009)",wyższe,magister,0,pracownik administracji państwowej,18,Siedlce,mazowieckie,10339,brak,1,True,,,
116,Michał Gramatyka,Polska2050,1971-10-08,54,Katowice,M,"Uniwersytet Śląski, Wydział Prawa i Administracji, Prawo - magister (1999) Uniwersytet Śląski, Wydział Prawa i Administracji, Nauki prawne - doktor (1999)",wyższe,doktor,0,radca prawny,31,Katowice,śląskie,32251,poseł na Sejm RP IX kadencji,2,True,,,
117,Małgorzata Gromadzka,KO,1985-03-24,40,Tarnogród,K,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Prawa i Administracji, Prawo - magister (2014)",wyższe,magister,0,pracownik administracji samorządowej,7,Chełm,lubelskie,10710,brak,1,True,,,
118,Marek Gróbarczyk,PiS,1968-03-13,57,Nowy Sącz,M,"Wyższa Szkoła Morska w Gdyni, Wydział Mechaniczny, Eksploatacja Siłowni Okrętowych - magister inżynier (1993) Akademia Techniczno-Rolnicza w Bydgoszczy, Telekomunikacja Cyfrowa (1998) - studia podyplomowe",wyższe,magister inżynier,1,inżynier mechanik,41,Szczecin,zachodniopomorskie,44422,poseł na Sejm RP IX kadencji,2,True,,,
119,Andrzej Grzyb,PSL,1956-08-23,69,Siedlików,M,"Uniwersytet Przyrodniczy w Poznaniu, Wydział Ogrodniczy - magister inżynier (1981) Wyższa Szkoła Bankowa w Poznaniu, Bankowość (2001) - studia podyplomowe Uniwersytet Ekonomiczny w Poznaniu, Ekonomia - doktor (2018)",wyższe,doktor,1,"ekonomista, inżynier ogrodnik",36,Kalisz,wielkopolskie,29391,"poseł na Sejm PRL X kadencji oraz na Sejm RP II, IV, V, VI i IX kadencji",6,True,,,
120,Andrzej Gut-Mostowy,PiS,1960-10-30,65,Zakopane,M,"Uniwersytet Ekonomiczny, Wydział Ekonomii Obrotu, Gospodarka Turystyczna - magister (1986) Uniwersytet Ekonomiczny, Gospodarka Regionalna (2003) - studia doktoranckie",wyższe,magister,0,ekonomista,14,Nowy Sącz,małopolskie,16467,"poseł na Sejm RP V, VI, VII i IX kadencji",5,True,,,
121,Kazimierz Gwiazdowski,PiS,1962-06-10,63,Radziłów,M,"Technikum Melioracji Wodnych, Melioracja - technik (1982)",średnie zawodowe,,0,rolnik,24,Białystok,podlaskie,11898,"poseł na Sejm RP V, VI, VIII i IX kadencji",5,True,,,
122,Marcin Gwóźdź,PiS,1977-12-14,48,Ząbkowice Śl.,M,"Politechnika Wrocławska, Wydział Mechaniczny, Mechanika i Budowa Maszyn - inżynier (2000) Politechnika Poznańska, Wydział Zarządzania, Zarządzanie i Inżynieria Produkcji - magister (2007) Uniwersytet Ekonomiczny, Finanse i Bankowość (2019) - studia podyplomowe",wyższe,magister,1,inżynier,2,Wałbrzych,dolnośląskie,23434,poseł na Sejm RP IX kadencji,2,True,,,
123,Marek Gzik,KO,1971-09-03,54,Gliwice,M,"Politechnika Śląska, Wydział Mechaniczny Technologiczny, Mechanika i Budowa Maszyn - magister inżynier (1996) Politechnika Śląska, Mechanika, Specjalność Biomechanika - doktor nauk technicznych (2000) - profesor nauk technicznych (2015) Politechnika Śląska, Master of Business Administration MBA w ""Ochronie Zdrowia"" (2022) - studia podyplomowe",wyższe,profesor,1,nauczyciel akademicki,29,Katowice,śląskie,19070,brak,1,True,,,
